##name	Lexique de Warhammer 40000
##version	0.0.3
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-11-09
##description	Dictionnaire pour faciliter la lecture des livres Warhammer 400000 (ɔ) 2023
##sourceLang	French
##targetLang	French
7ème Croisade Noire	La 7ème Croisade Noire fut surnommée "The Ghost War", (litt. la "Guerre fantôme") et désigne une guerre entre la Black Legion et ses alliés contre le Chapitre des Blood Angels. 1
7ème Régiment	Le 7ème Régiment est une unité de la Garde Impériale. 1
8ème Régiment Necromundien	Le 8ème Necromundien est un régiment de la Garde Impériale, dit "les Araignées". 1
9ème Garde des Adamantiphractes d’Angeloi	Le 9ème Garde des Adamantiphractes d’Angeloi fut régiment de l'Armée Impériale durant l'Hérésie d'Horus. 1
9ème Régiment	Le 9ème Régiment, surnommé Fighting 9th, est une unité de la Garde Impériale. 1
AFR-74	AFR-74 est un Monde Mort du Secteur Gothique. 1
AG106/GS/N	AG106/GS/N est un Agri-Monde du Secteur Gothique non baptisé. 1
Aajz Solari	Aajz Solari est le Capitaine de la 2ème Compagnie de la Raven Guard. 3
Aaron Dembski-Bowden	Aaron Dembski-Bowden est un romancier et scénariste collaborateur des publications de Black Library.
Aaron Miller	Aaron B. Miller est un illustrateur et contributeur des publications de Fantasy Flight Games.
Abakhol	Frère Abakhol fut un Sergent de l'antique XVIème légion des Sons of Horus. 1
Abbot	Frère "Abbot" fut le dirigeant de la secte Brotherhood of The Watch ("Fraternité de la Garde") au M41.
Abdiel	L'Abdiel est un Croiseur Léger Dauntless affecté à la Flotte de Guerre Gothique. 1
Abel Zorael	"Abel Zorael" 1-p.18 fut un capitaine de la 4ème compagnie des Blood Angels au M41. 1-p.14
Abhumain	Le terme d'Abhumain désigne les créatures d'ascendance humaine, mais dont l'apparence physique et les capacités mentales diffèrent énormément de leurs ancêtres. 1
Abridal's Glory	L'Abridal's Glory est un Croiseur Gothic affecté à la Flotte de Guerre Cadienne. 1
Abrihorton	Frère Abrihorton fut un Sergent de l'antique XVIIème légion des Word Bearers. 1
Absolvers	Les Absolvers sont un Chapitre Space Marine loyaliste. 1
Abysses d'Hazeroth	Les Abysses d'Hazeroth  sont un sous-secteur du secteur Calixis. 1
Abîme du Graal	L'Abîme du Graal est un sous-secteur des Coronid Deeps. 1
Accatran	Accatran est un Monde Forge de l'Ultima Segmentum. 1
Accipiters	Les Accipiters sont un Chapitre Space Marine loyaliste. 1
Accueil	-> Après avoir fouillé un peu le Lexicanum, jetez un œil aux pages d'aide, qui vous expliqueront pas à pas comment utiliser ce wiki.-> Pour un essai, nous vous recommandons de vous entraîner sur la page Immaterium.
Achernar	Achernar  est un Monde Glaciaire de l'Imperium dont le positionnement n'est pas connu. 1
Acheron	Le terme Acheron peut désigner :<ul><li> Acheron (Ruche) : cite-ruche d'Armageddon</li> <li> Canon à Flammes Acheron : arme de véhicule super-lourd</li> <li> Croiseur Lourd Acheron : Un vaisseau de guerre utilisé par le Chaos. </li> <li> Cerastus Knight-Acheron : Un type de Chevalier Impérial.</li></ul>
Achilles XII	Achilles XII est un Monde Forge de l'Adeptus Mechanicus dont le positionnement n'est pas connu. 1
Acre	Acre est un Agri-Monde du Secteur Gothique. 1
Adam Burn	Adam Burn (pseudo "Phoenix-06"2) est un illustrateur et contributeur des publications de Fantasy Flight Games.
Adanicio	"Adanicio" est le Maître du Logisticiam des Blood Angels à la fin du M41. 1-p.9
Adeon	Frère Adeon est un Sergent Vétéran des Blood Angels. 1
Adepta Sororitas	L'Adepta Sororitas, plus communément appelé Sœurs de Bataille, Filles de l'Empereur et plus rarement Sororité, est une division de l'organisation religieuse nommée l'Ecclésiarchie uniquement composée de femmes.
Adeptus Administratum	L'Adeptus Administratum est l'une des branches de l'Adeptus Terra. 2
Adeptus Arbites	L'Adeptus Arbites est une des branches de l'Adeptus Terra. Elle est en charge de la l'application de la loi impériale et du maintient de l'ordre sur toutes les planètes qui composent l'Imperium. 1
Adeptus Custodes	L' Adeptus Custodes, appelée aussi Legio Custodes, 6a est le corps d'armée servant de garde personnelle à l'Empereur. 1
Adeptus Mechanicus	L'Adeptus Mechanicus, appelée également Mechanicum, est l'une des principales et des plus puissantes organisations de l'Imperium. 1
Adeptus Ministorum	L'Adeptus Ministorum, ou Ecclésiarchie, est l'église du Culte Impérial, la religion de l'Imperium. 1
Adeptus Terra	L'Adeptus Terra est le grand clergé de la Terre qui gouverne l'Imperium de l'humanité au nom de l'Empereur. Ses Maîtres ne sont autres que les Hauts Seigneurs de Terra. Il s'agit de l'un des organes principaux qui compose l'Imperium et rare sont les organisation qui n'en dépendent pas. Les exceptions notables sont l'auguste Adeptus Mechanicus, la sainte Ecclésiarchie et la sombre Inquisition 1, 2
Adeptus Titanicus: Crucible of Retribution	Adeptus Titanicus: Crucible of Retribution est la cinquième extension pour Adeptus Titanicus (Jeu de Plateau). Comme le reste de la game, cet ouvrage n'a jamais été traduit en français.
Adeptus Titanicus: Doom of Molech	Adeptus Titanicus: Doom of Molech est la deuxième extension pour Adeptus Titanicus (Jeu de Plateau). Comme le reste de la game, cet ouvrage n'a jamais été traduit en français.
Adeptus Titanicus: Shadow and Iron	Adeptus Titanicus: Shadow and Iron est la troisième extension pour Adeptus Titanicus (Jeu de Plateau). Comme le reste de la game, cet ouvrage n'a jamais été traduit en français.
Adeptus Titanicus: The Defence of Ryza	Adeptus Titanicus: The Defence of Ryza est la quatrième extension pour Adeptus Titanicus (Jeu de Plateau). Comme le reste de la game, cet ouvrage n'a jamais été traduit en français.
Adeptus Titanicus: Titandeath	Adeptus Titanicus: Titandeath est la première extension pour Adeptus Titanicus (Jeu de Plateau). Comme le reste de la game, cet ouvrage n'a jamais été traduit en français.
Adeptus Titanicus (Homonymie)	Le terme Adeptus Titanicus peut désigner :<ul><li> Adeptus Titanicus : Une branche de l'Adeptus Mechanicus chargée de gestion des Titans</li> <li> Adeptus Titanicus (Epic, 1ère édition) : La première boite de jeu d'Epic</li> <li> Adeptus Titanicus (Jeu de Plateau) : Un jeu de plateau avec figurines mettant en scène les Titans Adeptus Titanicus: Titandeath : première extension du jeu de plateau Adeptus Titanicus: Doom of Molech : deuxième extension du jeu de plateau</li> <li> Adeptus Titanicus: Titandeath : première extension du jeu de plateau</li> <li> Adeptus Titanicus: Doom of Molech : deuxième extension du jeu de plateau</li></ul>
Adeptus Titanicus (Jeu de Plateau)	Adeptus Titanicus est un jeu de plateau avec figurines conçu par Forge World et édité par Games Workshop. Il est disponible dans plusieurs langues mais n'a pas été traduit en français. 1
Adion	Frère Adion est un Sergent Vétéran de la 1èrecompagnie du Chapitre des Blood Angels. 2a
Adrax Agatone	Adrax Agatone est l’actuel Capitaine de la 3ème Compagnie des Salamanders. 2-p.24
Adrian Smith	Adrian Smith est un illustrateur et contributeur des publications de Games Workshop.
Adulators	Les Adulators sont un Chapitre Space Marine loyaliste. 1
Aeolus	Aeolus est un Monde Minier du Secteur Gothique. 1
Aesir	Frère Aesir fut un Dreadnought Contemptor de l'antique VIème légion des Space Wolves. 1
Affiliation	Dans le tableau des données générales d'une planète, la case affiliation indique la race ou la faction dominante sur la planète (par le nombre, l'autorité ou la force).
Affrontement sur Scoria	L'Affrontement sur Scoria ou Prophétie Scorienne fut une bataille opposant les Salamanders aux Space Marines du Chaos et aux Orks. 1
After Action Report	Le rapport du commandeur Trix, appelé en anglais "After Action Report", est un document officiel rédigé au terme de la 3ème phase de la tentative de purge d'un Space Hulk par le chapitre des Blood Angels en 2.247.989.M41. 1 (voir notes)
Agathon	Agathon est un Monde Ruche des Coronid Reach. 1
Agent Magenta	L'Agent Magenta est une toxine biologique issue des arsenaux de l'Imperium. 1b
Agnathio	Agnathio peut désigner :<ul><li> Agnathio (Dreadnought) : Dreadnought Space Marine du Chapitre des Ultramarines.</li> <li> Agnathio (Maître de Chapitre) : Maître de Chapitre des Ultramarines en M32.</li></ul>
Agnathio (Dreadnought)	Agnathio est un Dreadnought de la 2ème Compagnie du Chapitre des Ultramarines. 1
Agnomen	L’Agnomen fut un Predator de l'antique IIIème légion des Emperor's Children. 1
Agri-Monde	Les mondes de classe α (Alpha) ou Agri-Mondes (contraction de Mondes Agricoles) sont dédiés à la production de nourriture, ayant été terraformés pour obtenir les climats propices aux cultures. 15
Agripinaa	Agripinaa est un Monde Forge proche de Cadia et de l'Œil de la Terreur. 1
Agripinaa (Homonymie)	Le terme Agripinaa peut désigner :<ul><li> Le Secteur Agripinaa : secteur du Segmentum Obscurus, près de l'Oeil de la Terreur, Le Système Agripinaa : système principal dans le Secteur Agripinaa, Agripinaa : Monde Forge du Système Agripinaa,</li> <li> Le Système Agripinaa : système principal dans le Secteur Agripinaa,</li> <li> Agripinaa : Monde Forge du Système Agripinaa,</li> <li> La Flotte de Guerre Agripinaa : élément de la Flotte Impériale en charge du Secteur Agripinaa,</li> <li> La Bataille d'Agripinaa : bataille entre le chapitre des Blood Angels et un host des World Eaters.</li></ul>
Agrippa	L'Agrippa est un Croiseur Lunar affecté à la Flotte de Guerre Gothique. 1
Agrippan	Agrippan fut un Dreadnought Vénérable du Chapitre des Ultramarines. 1
Ahzek Ahriman	Ahzek Ahriman était le Maître Archiviste de la XVème Légion des  Thousand Sons, avant que son chapitre succombe au chaos et qu'il devienne l'un des plus puissants Sorciers de Tzeentch. 1, 2
Aigle Chasseur	Les Aigles Chasseurs3-p.14 ou Eperviers Voltigeurs4 sont des Guerriers Aspects Eldar représentant la divinité Khaine sous son aspect vengeur. 4
Aigles	Les Aigles sont le nom d'une formation de la Raven Guard créée après la Bataille d'Istvaan V.Cette formation se compose principalement de Land Speeder, de Motos Space Marines, de forces aériennes, et d'Escouade d'Assaut. 1
Aileron Renforcé	Les Ailerons Renforcés sont un équipement Nécron utilisé par les Mécanoptères. 1
Ailes d'Ange	"Angels' Wings" (trad. Ailes d'Ange) est le nom familier utilisé par les tribus baalites pour désigner un planeur monoplace de fabrication artisanale. 1,3a Ces planeurs servent notamment pour rejoindre le site de recrutement des Blood Angels. 1
Ailes de Sanguinius	Les "Ailes de Sanguinius" sont la dénomination d'un pouvoir psychique propre aux Archivistes du Chapitre des Blood Angels. 1
Ajax	Le nom Ajax peut désigner :<ul><li> Ajax (Croiseur d'Attaque) : Croiseur d'Attaque du Chapitre des Iron Hands.</li> <li> Ajax Excelsus : Titan de la Legio Invicta.</li> <li> Dominus Ajax : Titan de la Legio Tempestus.</li></ul>
Ajax (Croiseur d'Attaque)	L'Ajax est un Croiseur d'Attaque 1-chap.9 appartenant au Clan Raukaan du Chapitre des Iron Hands. Son commandant de bord est le Capitaine Strake. 1
Ajir	Frère "Ajir" est un Space Marine du Chapitre des Blood Angels. 1
Akurduana	Akurduana fut un Épéiste de l'antique IIIème Légion des Emperor's Children. 1
Alactus	Frère Alactus fut un Space Marine du Chapitre des Blood Angels. 1c
Alais Decur	Alais Decur fut un Chevalier-Sergent de l'antique Ière Légion des Dark Angels. 1
Alaitoc	Alaitoc est un Vaisseau-Monde Eldar connu pour son utilisation intensive de Rangers.La prépondérance de ces derniers est due au fait qu'Alaitoc est un vaisseau-monde appliquant de façon très orthodoxe la Voie de l'Eldar. Ainsi, de nombreux individus sont frustrés par ce mode de vie stricte ou bien sont chassés par leurs maîtres après des manquements mineurs à cette doctrine orthodoxe. A cela s'ajoute l'isolement volontaire dans lequel est maintenu Alaitoc, ce qui aiguise la curiosité de certains de ses enfants à l'égard du reste de la Galaxie, les conduisant à choisir de suivre la Voie de l'Errant, devenant par la-même des Rangers voire des Pirates Eldars. Ils se lancent alors dans de dangereuses quêtes pour le bien de la race Eldar, répandant la renommé de leur vaisseau-monde dans la galaxie. 3-p. 19
Alan Bligh	Alan Bligh fut le rédacteur principal et le Game Designer pour Forge World jusqu'à son décès en 2017. 1
Alan Merrett	Alan Merrett est un directeur artistique, concepteur de jeu, artiste designer et écrivain du studio Games Workshop et Black Library.
Alaric	Le nom Alaric peut désigner :<ul><li> Alaric (Chevalier Gris) : Justicar des Chevaliers Gris.</li> <li> Alaric Eshara : Capitaine des Imperial Fists au M41.</li> <li> Alaric Prime : Monde Chevalier de l'Imperium.</li> <li> Bataille d'Alaric Prime : engagement des Space Wolves sur Alaric Prime.</li></ul>
Alaric Prime	Alaric Prime est un Monde Féodal et le Monde Chevalier des maisons Degallio, Kestren, Brahmica, Kamata et Velemestrin. Il est situé dans l'Ultima Segmentum. 1, 2, 4
Aldrik Voldus	Aldrik Voldus est le Grand Maître de la 3ème Confrérie et le Maitre du Librarium des Chevaliers Gris
Aldrim	Frère Aldrim fut un Sergent de l'antique VIème légion des Space Wolves. 1
Aleckto Kirhane	Aleckto Kirhane fut un légionnaire de l'antique XIXème légion de la Raven Guard.  1
Alexander Boyd	Alexander Boyd est un illustrateur et contributeur des publications de Games Workshop et Black Library.
Alexis Polux	Alexis Polux, surnommé le Poing Cramoisi fut le 1er Maître de Chapitre des Crimson Fists.1
Alfrost	Alfrost est une planète impériale du Sous-secteur Corvus. 1-p.21
Algernon Traegus	"Algernon Traegus" fut un Maître de Chapitre des Crimson Fists.
Alpagueur	L'Alpagueur est l'arme traditionnelle des Fouettards Orks qui s'en servent pour attraper d'éventuels Grots fuyards pour les projeter au beau milieu d'un champ de mines.Consistant en une pince fixée au bout d'un long manche, l'Alpagueur peut être utilisé au corps à corps pour attraper un bras ou une jambe de l'ennemi. 1
Alpha-Rho 25	Alpha-Rho 25 fut une unité de Protectors du Mechanicum. 1
Alpha-Zeta 54	Alpha-Zeta 54 fut une unité de Protectors du Mechanicum. 1
Alpha Legion	L'Alpha Legion est la vingtième Légion Space Marine créée par l'Empereur et dirigée par Alpharius. 1
Alpharius Omegon	Alpharius et Omégon sont les Primarques de la légion Alpha Legion. Leur monde natal est inconnu. Ils font partis des traîtres qui se joignirent à l'Hérésie d'Horus. 1, 5
Alphon	Alphon est une planète du Segmentum Solar dont la position exacte est inconnue. 1
Alris Colvin	Alris Colvin est un Agri-Monde dont la position exacte est inconnue. 1.
Altansar	Lors de La Chute, le Vaisseau-Monde d'Altansar put échapper à l'onde de choc psychique qui balaya l'ancien Empire Eldar. Cependant, il fut pris dans le champ d'attraction de l'Œil de la Terreur. Plus proche du royaume du Warp, Altansar fut irrésistiblement attiré vers l'Œil et malgré une lutte acharnée qui dura près de cinq siècles, il finit par être englouti par ce lieu maudit. Seul le Seigneur Phénix Maugan Ra parvint à s'échapper du Vaisseau-Monde. 1
Altar Brethren	Les Altar Brethren furent un Chapitre Space Marine qui renièrent leur allégeance à l'Empereur pour devenir le Chapitre Renégat des Iconoclasts à la suite de la Croisade Abyssale. 1
Amadeus	Frère Amadeus est un Dreadnought Space Marine du Chapitre des Salamanders. 1
Amareo	Le nom Amareo peut désigner :<ul><li> Amareo (Personne) : Ancien Maître de Chapitre des Blood Angels.</li> <li> La Tour d'Amareo : Une des tours de la Forteresse-Monastère des Blood Angels.</li> <li> L'Amareo (Vaisseau) : Croiseur d'Attaque des Blood Angels.</li></ul>
Amareo (Personne)	Le nom "Amareo" est à la fois celui d'un héros légendaire à l'origine d'une doctrine importante parmi les Blood Angels, et celui d'une tour éponyme de la citadelle du chapitre. 1
Amareo (Vaisseau)	L'Amareo fut un Croiseur d'Attaque de la flotte des Blood Angels. 1b-p.367
Amaretto	Amaretto fut un Dreadnought Furioso du Chapitre des Blood Angels. 1
Amas de Gevion	L'Amas de Gevion est un Sous-secteur du Secteur Uhulis. 1
Amas de Phaedra	L'Amas de Phaedra (en. : Phaedra Cluster) est le nom d'un système stellaire multiple appartenant à l'Imperium. 1c
Amas de Signus	L'Amas de Signus est le nom d'un système stellaire multiple classé Mundis Excomunicata. 1-p.341
Amas du Cyclope	L'Amas du Cyclope est un sous-secteur du Secteur Gothique. 1
Amasec	L'Amasec est un alcool très populaire et répandu parmi les populations de l'Imperium. 1b
Amendera Kendel	Amendera Kendel fut une Chevalier de l'Oubli de la mystérieuse confrérie des Sœurs du Silence au M31 avant de quitter son ordre pour devenir l'une des agents de Malcador 1, 3
Amensos	Frère Amensos fut un Sergent de l'antique XVème légion des Thousand Sons. 1
Ameton Epsilon IV	Ameton Epsilon IV est un Monde Minier de l'Ultima Segmentum. 2
Amicus	Frère Amicus fut un Sergent de l'antique IXème légion des Blood Angels. 2
Ammonai	Ammonai est une planète du Système Baal. 1
Amsu	Frère Amsu fut un Vétéran, Porte-Bannière de l'antique XVème légion des Thousand Sons. 1
Amulette de Loup	Utilisée par les Prêtres Loups des Space Wolves, une Amulette de Loup est l'équivalent du Rosarius des autres Chapitres Space Marines. 1
Amulius	Amulius est un Lieutenant du Chapitre des Ultramarines. 1
An'ggrath	An'ggrath le Déchaîné est un Buveur de Sang. Porteur du titre de Gardien du Trône de Crânes, il est le favori de Khorne et fait partie des huit Buveurs de Sang les plus puissants servant le Dieu du Sang. 1, 2
Anakwanar Sek	Anakwanar Sek est l'un des seigneurs de guerre du Chaos rencontrés lors de la célèbre Croisade des Mondes de Sabbat. Ses disciples le surnomme avec crainte l'Anarque "dont la voix couvre toutes les autres". Le Magister Anakwanar Sek est un brillant stratège et penseur. Lorsque l'Archonte Nadzybar tomba sur Balhaut en 765.M41, des combats sanglants pour sa succession en tant que commandement général des forces du Chaos commença. 1, 2
Anathame	L'Anathame est une arme-relique de la légion renégate des Emperor's Children.
Anathrax	Anathrax le Fétide est un Prince-Démon de Nurgle, dirigeant le Culte de l'Ambre. 1
Anatolus Gdolkin	Anatolus Gdolkin fut un Révérend de Fer dont le corps mortellement blessé a été placé dans un Dreadnought du Chapitre des Iron Hands. 1
Anaton Thassarius	Anaton Thassarius est un Capitaine du Chapitre des Ultramarines. 1
Ancêtre Vivant	Les Living Ancestors (littéralement Ancêtres Vivants), appelés aussi Ancestor Lords 1-p.75 ou Spirit Lords 2-p.170 sont les Psykers de la société Squat.
Andrea Uderzo	Andrea Uderzo est un illustrateur et contributeur des publications de Fantasy Flight Games.
Andrei Ornatov	Andrei Ornatov fut un Colonel de l'antique Armée Impériale au M31. 1
Andronius	L'Andronius fut un Croiseur d'Attaque de l'antique IIIème légion des Emperor's Children. Il était considéré comme le second vaissau-amiral de leur flotte par Fulgrim lui-même. 1, 3
Andy Chambers	Andy Chambers est un auteur de Black Library et fut l'un des concepteurs et créateur de jeux principaux du studio Games Workshop. 1-4
Andy Hoare	Andy Hoare est un concepteur de jeu et un romancier, collaborateur des publications de Games Workshop, Black Library et Fantasy Flight Games.
Andy Smillie	Andy Smillie est un romancier collaborateur des publications de Games Workshop et Black Library. 1
Angel's Sword	L'Angel's Sword est un Croiseur d'Attaque du Chapitre des Blood Angels. 2a
Angel's Tears	Les Angel's Tears, connus aussi comme les Broken Blades ou Dead Hand, sont un ordre de la première sphère de la Légion des Blood Angels. 1
Angel Guard	Les Angel Guard sont un Chapitre Space Marine loyaliste. 1
Angelis	Angelis est un Monde Nécropole appartenant à la Dynastie Oruscar. 2
Angelo	Frère Angelo fut un Space Marine Vétéran de la 1ère compagnie des Blood Angels et un membre de l'escouade Leonidus. 2a
Angels Encarmine	Les Angels Encarmine (appelés aussi Anges Carmins 1) sont un Chapitre Space Marine, successeur des Blood Angels, créé lors de la Seconde Fondation. 3
Angels Eradicant	Les Angels Eradicant sont un Chapitre Space Marine loyaliste. 1
Angels Penitent	Angels Penitent peut désigner :<ul><li> Angels Penitent (Blood Angels) : un Chapitre descendant des Blood Angels.</li> <li> Angels Penitent (Chapitre) : un autre Chapitre Space Marine avec le même nom.</li></ul>
Angels Penitent (Blood Angels)	Les Angels Penitent sont un Chapitre Space Marine loyaliste, autrefois connus sous le nom d'Angels Resplendent. 1
Angels Penitent (Chapitre)	Les Angels Penitent sont un Chapitre Space Marine loyaliste. 1
Angels Porphyr	Les Angels Porphyr sont un Chapitre Space Marine loyaliste. 1
Angels Redeemed	Les Angels Redeemed sont un Chapitre Space Marine loyaliste. 1
Angels Repentant	Les Angels Repentant sont un Chapitre Space Marine loyaliste. 1
Angels Resplendent	Angels Resplendent peut désigner :<ul><li> Angels Resplendent (Blood Angels) : un Chapitre descendant des Blood Angels.</li> <li> Angels Resplendent (Chapitre) : un autre Chapitre Space Marine avec le même nom.</li></ul>
Angels Resplendent (Chapitre)	Les Angels Resplendent sont un Chapitre Space Marine loyaliste. 1
Angels Revenant	Les Angels Revenant furent un Chapitre Space Marine loyaliste, issu du patrimoine génétique des Ultramarines. 2, 3
Angels Sanguine	Les Angels Sanguine (appelés aussi "Anges Ecarlates" 3) sont un Chapitre Space Marine, successeur des Blood Angels, créé lors de la Seconde Fondation. 7
Angels Vermillion	Les Angels Vermillion (appelés aussi Anges Rouges 2) sont un Chapitre Space Marine, successeur des Blood Angels, créé lors de la Seconde Fondation. 3
Angels Vindicant	Les Angels Vindicant sont un Chapitre Space Marine loyaliste. 1
Angels of Absolution	Les Angels of Absolution sont un Chapitre Space Marine successeur des Dark Angels, créé lors de la Seconde Fondation. 1
Angels of Damnation	Les Angels of Damnation sont un Chapitre Space Marine loyaliste. 1
Angels of Defiance	Les Angels of Defiance sont un Chapitre de Space Marines loyaliste. 1
Angels of Ecstasy	Les Angels of Ecstasy sont une bande de Space Marines du Chaos. 1
Angels of Fire	Les Angels of Fire sont un Chapitre Space Marine loyaliste. 3, 4, 5
Angels of Flame	Les Angels of Flame sont une bande de Space Marines du Chaos. 1
Angels of Fury	Les Angels of Fury sont un Chapitre Space Marine loyaliste, descendant des Ultramarines. 1
Angels of Iron	Les Angels of Iron sont un Chapitre Space Marine loyalistes. 1
Angels of Penance	Les Angels of Penance sont un Chapitre Space Marine loyaliste. 1
Angels of Purgatory	Les Angels of Purgatory sont un Chapitre Space Marine loyaliste. 1, 2
Angels of Redemption	Les Angels of Redemption sont un Chapitre Space Marine, successeur des Dark Angels, créé lors de la Seconde Fondation. 4
